importer,robusta_(60kg_bags),arabica_(60kg_bags),country,continent,yearsAsCustomer,orderFreqPerYear,total_(60kg_bags),arabica_pct,avgOrderSize
Sucafina,98395,13124,Switzerland,Europe,7,6,111519,11.8,18586
Olam International,73042,13423,Singapore,Asia,6,5,86465,15.5,17293
Touton SA,48547,5980,France,Europe,5,5,54527,11,10905
Hafco Trading,38850,0,Sudan,Africa,4,4,38850,0,9712
Ecom Agro Industrialist,36973,1870,Switzerland,Europe,6,5,38843,4.8,7768
Bernhard Rothfos,36460,2120,Germany,Europe,5,5,38580,5.5,7716
Volcafe,30050,4160,Switzerland,Europe,5,4,34210,12.2,8552
Louis Dreyfus,32829,1280,Netherlands,Europe,6,4,34109,3.8,8527
Aldwami Co,29050,0,Sudan,Africa,4,3,29050,0,9683
Altasheel Import and Export,26600,0,Sudan,Africa,4,3,26600,0,8866
